Height,beta_mol,beta_aer,beta_total,alpha_aer,alpha_mol
5752.5,1.0361744576461392e-17,5.473453749305456e-06,5.473453749315818e-06,0.00032840722495832737,8.680634837275998e-17
5760.0,1.0353083442429401e-17,5.5005500549951474e-06,5.500550055005501e-06,0.00033003300329970884,8.673378902596889e-17
5767.5,1.0344428668988219e-17,5.527915975666825e-06,5.52791597567717e-06,0.00033167495854000953,8.666128296553873e-17
5775.0,1.0335780258637327e-17,5.5555555555452195e-06,5.555555555555555e-06,0.00033333333333271316,8.658883021240916e-17
5782.5,1.0327138213879102e-17,5.583472920146009e-06,5.583472920156336e-06,0.0003350083752087605,8.6516430787544e-17
5790.0,1.0318502537218795e-17,5.611672278328627e-06,5.611672278338946e-06,0.00033670033669971764,8.644408471193122e-17
5797.5,1.0309873231164567e-17,5.640157924411574e-06,5.640157924421884e-06,0.00033840947546469444,8.63717920065831e-17
5805.0,1.0301250298227471e-17,5.66893424035251e-06,5.668934240362812e-06,0.00034013605442115063,8.629955269253623e-17
5812.5,1.0292633740921456e-17,5.698005697995406e-06,5.6980056980056985e-06,0.00034188034187972437,8.62273667908514e-17
5820.0,1.028402356176339e-17,5.727376861387196e-06,5.72737686139748e-06,0.00034364261168323175,8.615523432261388e-17
5827.5,1.0275419763273031e-17,5.757052389166468e-06,5.757052389176743e-06,0.00034542314334998805,8.608315530893313e-17
5835.0,1.0266822347973056e-17,5.78703703702677e-06,5.787037037037037e-06,0.0003472222222216062,8.60111297709431e-17
5842.5,1.0258231318389061e-17,5.817335660257338e-06,5.817335660267597e-06,0.0003490401396154403,8.593915772980216e-17
5850.0,1.0249646677049556e-17,5.84795321636402e-06,5.84795321637427e-06,0.0003508771929818412,8.586723920669312e-17
5857.5,1.0241068426485958e-17,5.878894767773415e-06,5.878894767783656e-06,0.0003527336860664049,8.57953742228231e-17
5865.0,1.0232496569232633e-17,5.910165484623338e-06,5.91016548463357e-06,0.0003546099290774003,8.572356279942399e-17
5872.5,1.0223931107826857e-17,5.941770647642777e-06,5.941770647653001e-06,0.00035650623885856664,8.565180495775202e-17
5880.0,1.0215372044808837e-17,5.973715651124793e-06,5.973715651135008e-06,0.00035842293906748757,8.558010071908795e-17
5887.5,1.0206819382721725e-17,6.006006005995798e-06,6.006006006006004e-06,0.00036036036035974785,8.550845010473726e-17
5895.0,1.01982731241116e-17,6.038647342984969e-06,6.038647342995167e-06,0.0003623188405790981,8.543685313602994e-17
5902.5,1.0189733271527483e-17,6.071645415897522e-06,6.0716454159077115e-06,0.0003642987249538513,8.53653098343206e-17
5910.0,1.0181199827521346e-17,6.1050061049959245e-06,6.105006105006106e-06,0.00036630036629975546,8.529382022098861e-17
5917.5,1.0172672794648101e-17,6.138735420493205e-06,6.138735420503378e-06,0.00036832412522959227,8.522238431743793e-17
5925.0,1.0164152175465612e-17,6.172839506162676e-06,6.17283950617284e-06,0.00037037037036976054,8.515100214509728e-17
5932.5,1.0155637972534698e-17,6.207324643068677e-06,6.207324643078833e-06,0.0003724394785841206,8.507967372542012e-17
5940.0,1.0147130188419136e-17,6.242197253423059e-06,6.242197253433207e-06,0.0003745318352053836,8.500839907988471e-17
5947.5,1.0138628825685664e-17,6.277463904572409e-06,6.277463904582548e-06,0.0003766478342743445,8.49371782299941e-17
5955.0,1.0130133886903981e-17,6.3131313131211835e-06,6.313131313131314e-06,0.000378787878787271,8.486601119727616e-17
5962.5,1.0121645374646751e-17,6.349206349196227e-06,6.349206349206349e-06,0.00038095238095177365,8.479489800328358e-17
5970.0,1.0113163291489621e-17,6.385696040858341e-06,6.385696040868455e-06,0.00038314176245150046,8.472383866959403e-17
5977.5,1.01046876400112e-17,6.422607578666838e-06,6.422607578676943e-06,0.0003853564547200103,8.465283321781005e-17
5985.0,1.009621842279308e-17,6.459948320403341e-06,6.459948320413437e-06,0.00038759689922420045,8.45818816695591e-17
5992.5,1.0087755642419834e-17,6.4977257959613216e-06,6.49772579597141e-06,0.0003898635477576793,8.451098404649369e-17
