,00:02:11,00:02:11,00:02:11,00:02:11,00:02:11,00:02:11,00:02:11
119,5.105731,1.115737,5.154803,1.482098,5.091664,0.000000,129.120000
120,5.100832,1.332223,5.150208,1.615321,5.090342,0.000000,132.160000
121,5.103373,1.332223,5.149680,1.648626,5.091582,0.000000,138.560000
122,5.104674,1.182348,5.151896,1.482098,5.091074,0.000000,133.760000
123,5.102763,1.032473,5.147546,1.565362,5.091399,0.000000,132.960000
124,5.104958,1.265612,5.148948,1.482098,5.092131,0.000000,139.520000
125,5.097132,1.382182,5.150534,1.548709,5.092477,0.000000,137.440000
126,5.100710,0.949209,5.147383,1.515404,5.091887,0.000000,138.400000
127,5.100242,1.132390,5.148989,1.332223,5.092314,0.000000,137.760000
128,5.094835,1.132390,5.149985,1.365529,5.092009,0.000000,138.880000
129,5.100140,1.082431,5.147647,1.298918,5.092131,0.000000,136.160000
130,5.103271,0.999167,5.149253,1.315570,5.091846,0.000000,134.080000
131,5.098148,1.065779,5.147220,1.232306,5.092131,0.000000,135.840000
132,5.097925,0.815987,5.146245,1.532057,5.091704,0.000000,137.280000
133,5.101950,0.915903,5.146123,1.315570,5.091785,0.000000,139.840000
134,5.099226,0.915903,5.146163,1.165695,5.092314,0.000000,138.880000
135,5.094916,1.032473,5.147546,1.265612,5.092253,0.000000,136.320000
136,5.099409,0.882598,5.146915,1.398834,5.092517,0.000000,139.200000
137,5.098108,0.915903,5.146326,1.248959,5.092843,0.000000,135.040000
138,5.093839,0.832639,5.143378,1.298918,5.092395,0.000000,131.040000
139,5.096014,0.849292,5.142098,1.315570,5.091481,0.000000,132.160000
140,5.095384,0.849292,5.143866,1.199001,5.090932,0.000000,138.240000
141,5.093208,1.032473,5.148887,1.049126,5.093026,0.000000,137.760000
142,5.094286,0.732723,5.145086,1.165695,5.092294,0.000000,136.800000
143,5.093554,0.965862,5.141874,1.498751,5.091379,0.000000,138.240000
144,5.093432,0.999167,5.145106,1.398834,5.092172,0.000000,130.400000
145,5.089956,0.999167,5.146082,1.398834,5.091359,0.000000,130.400000
146,5.091806,0.865945,5.141996,1.049126,5.090993,0.000000,132.320000
147,5.089956,0.815987,5.144456,1.282265,5.092741,0.000000,129.120000
148,5.089265,0.815987,5.144964,1.282265,5.092355,0.000000,132.960000
149,5.093798,0.416320,5.140797,1.132390,5.092924,0.000000,135.520000
150,5.092538,0.849292,5.140858,0.899251,5.091338,0.000000,136.480000
151,5.089123,0.766028,5.143094,0.949209,5.091440,0.000000,131.200000
152,5.093188,0.932556,5.147850,1.315570,5.092172,0.000000,131.840000
153,5.096034,0.699417,5.146651,1.099084,5.091948,0.000000,135.200000
154,5.096685,0.766028,5.143358,1.365529,5.093005,0.000000,130.880000
155,5.093717,0.666112,5.141955,0.965862,5.091907,0.000000,132.320000
156,5.091867,0.682764,5.143134,0.965862,5.091907,0.000000,136.000000
157,5.089915,0.849292,5.143988,1.082431,5.091643,0.000000,133.120000
158,5.085179,0.832639,5.141183,1.265612,5.091928,0.000000,130.880000
159,5.090322,1.032473,5.137158,1.282265,5.091704,0.000000,134.880000
160,5.091420,1.032473,5.139170,1.165695,5.091440,0.000000,135.040000
161,5.090993,0.965862,5.140614,1.365529,5.091501,0.000000,138.080000
162,5.088675,1.149042,5.141061,1.548709,5.092619,0.000000,139.520000
163,5.088167,1.765196,5.141711,1.548709,5.092477,0.000000,137.760000
164,5.088594,5.711907,5.140980,3.680266,5.091623,0.000000,136.800000
165,5.087801,8.126561,5.140044,7.660283,5.091907,0.000000,129.920000
166,5.091257,2.564530,5.141589,2.997502,5.092497,0.000000,135.360000
167,5.091684,1.348876,5.143419,1.948376,5.091684,0.000000,132.960000
168,5.095729,8.243131,5.144008,10.624480,5.091277,0.000000,127.200000
169,5.094387,17.069109,5.145940,21.199001,5.092477,0.000000,136.800000
170,5.094997,20.815987,5.144578,29.042465,5.091826,0.000000,140.800000
171,5.095140,22.048293,5.145940,45.328893,5.091887,0.000000,132.320000
172,5.122725,19.700250,5.149436,46.444629,5.092029,0.000000,137.120000
173,5.207046,13.322231,5.188161,40.116570,5.092131,0.000000,133.920000
174,5.231074,8.809326,5.238046,30.291424,5.091846,0.000000,136.640000
175,5.114187,2.880933,5.178851,12.339717,5.092355,0.000000,126.560000
176,5.115285,0.782681,5.161226,2.880933,5.092944,0.000000,143.360000
177,5.290615,0.266445,5.351477,0.949209,5.091582,0.000000,127.680000
178,5.471311,0.199833,5.524734,0.982515,5.091989,0.000000,129.280000
179,5.561040,0.333056,5.707280,1.049126,5.091867,0.000000,131.200000
180,5.559352,0.249792,6.127665,1.065779,5.091460,0.000000,128.960000
181,5.477979,0.216486,6.229082,1.165695,5.092070,0.000000,133.920000
182,5.347432,0.233139,6.023037,1.015820,5.092741,0.000000,136.480000
183,5.235648,0.216486,5.745721,1.032473,5.092619,0.000000,136.320000
184,5.120550,0.283097,5.312447,0.982515,5.092314,0.000000,143.200000
185,5.084345,0.133222,5.163157,0.699417,5.092212,0.000000,135.200000
186,5.082739,0.216486,5.136080,0.649459,5.092355,0.000000,139.200000
187,5.078328,0.266445,5.143317,0.865945,5.092070,0.000000,137.440000
188,5.082374,0.183181,5.146671,0.799334,5.092416,0.000000,135.840000
189,5.080849,0.216486,5.142260,0.932556,5.092863,0.000000,134.560000
190,5.079141,0.149875,5.143764,0.882598,5.091907,0.000000,139.360000
191,5.080259,0.283097,5.140593,0.832639,5.092151,0.000000,130.560000
192,5.081093,0.049958,5.139536,0.932556,5.092009,0.000000,135.360000
193,5.080503,0.216486,5.138012,0.832639,5.091481,0.000000,136.000000
194,5.077353,0.166528,5.135023,0.666112,5.091806,0.000000,133.600000
195,5.080300,0.166528,5.135247,0.999167,5.091521,0.000000,137.440000
196,5.078715,0.216486,5.139069,0.732723,5.091216,0.000000,142.240000
197,5.078511,0.083264,5.137442,0.882598,5.091704,0.000000,140.800000
198,5.077495,0.183181,5.139516,0.865945,5.090972,0.000000,140.480000
199,5.077170,0.116570,5.139211,0.815987,5.091887,0.000000,142.080000
200,5.078166,0.149875,5.137381,0.749376,5.091643,0.000000,133.760000
201,5.076255,0.249792,5.138378,0.882598,5.091216,0.000000,131.840000
202,5.077779,0.149875,5.137808,0.682764,5.091562,0.000000,132.320000
203,5.079223,0.116570,5.136182,0.882598,5.091562,0.000000,129.120000
204,5.076865,0.066611,5.137422,0.832639,5.091237,0.000000,140.800000
205,5.077678,0.183181,5.135552,0.849292,5.091521,0.000000,135.680000
206,5.077515,0.233139,5.137646,0.749376,5.091684,0.000000,133.440000
207,5.078328,0.116570,5.139048,0.716070,5.090810,0.000000,134.560000
208,5.076763,0.199833,5.134739,0.882598,5.092395,0.000000,129.760000
209,5.078308,0.199833,5.134373,0.865945,5.092355,0.000000,143.040000
210,5.080097,0.133222,5.136873,0.749376,5.092050,0.000000,128.960000
211,5.078247,0.149875,5.136589,0.716070,5.092050,0.000000,135.360000
212,5.077068,0.183181,5.135125,0.849292,5.091704,0.000000,134.880000
213,5.076702,0.183181,5.134515,0.682764,5.091582,0.000000,140.960000
214,5.077637,0.116570,5.138378,0.865945,5.090505,0.000000,138.880000
215,5.078938,0.166528,5.137625,0.865945,5.091867,0.000000,134.720000
216,5.077495,0.133222,5.134739,0.716070,5.092192,0.000000,139.520000
217,5.077312,0.099917,5.136101,0.682764,5.092009,0.000000,138.240000
218,5.077983,0.083264,5.136406,0.999167,5.091501,0.000000,133.600000
219,5.077515,0.033306,5.135125,0.632806,5.092395,0.000000,134.400000
220,5.078328,0.083264,5.136833,0.766028,5.092965,0.000000,136.160000
221,5.077962,0.166528,5.138804,0.766028,5.092538,0.000000,138.080000
222,5.078491,0.083264,5.134414,0.982515,5.091115,0.000000,144.000000
223,5.078288,0.083264,5.137808,0.982515,5.091664,0.000000,139.680000
224,5.077068,0.116570,5.137219,0.815987,5.091603,0.000000,139.680000
225,5.077088,0.066611,5.135389,0.815987,5.091887,0.000000,139.040000
226,5.076356,0.099917,5.135125,0.865945,5.091765,0.000000,140.000000
227,5.076844,0.083264,5.139496,0.682764,5.091542,0.000000,136.000000
228,5.076946,0.183181,5.135389,0.782681,5.092151,0.000000,131.520000
229,5.075909,0.099917,5.134190,0.699417,5.092111,0.000000,132.800000
230,5.078389,0.149875,5.135511,0.649459,5.091562,0.000000,131.040000
231,5.077231,0.083264,5.138459,0.782681,5.092090,0.000000,129.280000
232,5.077068,0.083264,5.137849,1.232306,5.091684,0.000000,132.160000
233,5.075625,0.083264,5.136406,0.782681,5.090911,0.000000,130.400000
234,5.075604,0.133222,5.137666,0.832639,5.092639,0.000000,136.000000
