,00:02:05,00:03:06,00:04:07,00:05:07
1500.0,500007.5,499460.44999999995,504367.39,707182.39
1507.5,500019.065,500495.275,504290.13,636614.96
1515.0,499514.265,500015.755,503691.765,547280.13
1522.5,499570.52,499799.78500000003,502731.665,516428.125
1530.0,498825.78500000003,500071.89,502989.16000000003,507261.58499999996
1537.5,499192.355,500583.895,502554.20499999996,502885.17
1545.0,499084.97,500544.385,502853.97,504119.765
1552.5,499631.42,499437.805,502991.76,503441.82999999996
1560.0,499426.365,499298.94,501893.865,502550.70499999996
1567.5,499133.0,499558.49,502498.485,502704.175
1575.0,499342.88,498888.58999999997,502613.94,502986.02
1582.5,499125.175,500141.005,502667.96499999997,502594.83499999996
1590.0,498890.21499999997,499442.0,502226.745,501946.515
1597.5,498491.81,499301.435,501867.89,501960.62
1605.0,499203.68,499908.32999999996,503178.71499999997,501596.83499999996
1612.5,499684.915,499351.9,503663.78,502375.145
1620.0,499820.39,500050.595,502588.81999999995,502188.065
1627.5,499161.03,499809.16000000003,502342.665,501960.87
1635.0,499218.91000000003,499367.82499999995,502800.595,502200.14
1642.5,499373.155,499712.08999999997,502667.28500000003,502053.005
1650.0,498004.58499999996,499509.135,502376.775,502208.81999999995
1657.5,498991.05,499722.17,502325.235,501955.375
1665.0,499717.155,499157.12,502304.745,502094.70999999996
1672.5,499616.44499999995,499722.97,501711.31999999995,502362.165
1680.0,499022.64,500584.32499999995,502293.81,502762.775
1687.5,498978.0,499542.32999999996,502636.58999999997,502678.175
1695.0,499784.055,499919.15,502614.905,501937.12
1702.5,499337.13,500166.5,502520.5,501916.07999999996
1710.0,498644.64,499410.545,502207.39,501967.33499999996
1717.5,499618.02,499797.23,503284.615,502059.22
1725.0,499763.055,499678.425,503191.515,502204.4
1732.5,499293.96499999997,499956.925,502307.48,502107.47
1740.0,499625.385,499765.67,502741.975,501232.26
1747.5,499393.03500000003,499705.26,501657.55,502100.6
1755.0,499284.27,499546.865,501759.08499999996,501396.45999999996
1762.5,499108.25,499818.70999999996,502806.72,501301.875
1770.0,499406.245,500226.23,501495.925,502337.42
1777.5,499558.57999999996,499701.565,501494.32999999996,502636.895
1785.0,499209.05,499692.47,501972.96499999997,501794.92
1792.5,499171.415,499727.3,501993.115,501569.33999999997
1800.0,499662.81,499730.14,502282.73,501711.64
1807.5,500206.88,499663.8,501725.85,501987.07999999996
1815.0,499809.25,499008.06999999995,502722.635,501196.665
1822.5,499512.135,499600.3,502294.245,501252.57999999996
1830.0,499606.545,499424.70499999996,501673.82999999996,501949.70499999996
1837.5,499471.35,499669.64,502298.055,502008.395
1845.0,499408.675,499432.365,502295.19499999995,501119.845
1852.5,499634.6,499484.66000000003,502640.435,501706.58499999996
1860.0,499707.8,500240.36,501935.02,502419.07999999996
1867.5,499555.32999999996,500239.23,501468.605,501822.18
1875.0,499211.295,500045.25,501789.4,501740.19
1882.5,499038.095,499744.65,502640.6,501974.53
1890.0,499291.39,500094.63,503127.925,502059.995
1897.5,498833.21499999997,499853.56,501668.07499999995,502484.815
1905.0,499586.94,500235.68,501585.0,502299.855
1912.5,499735.33999999997,500160.22,502331.8,501774.86
1920.0,499101.755,499907.56999999995,502141.53500000003,501903.6
1927.5,499359.405,500016.545,502392.24,500950.64
1935.0,499720.66000000003,499397.20999999996,502464.87,502072.58999999997
1942.5,499082.495,500268.515,503055.545,501640.62
1950.0,498842.005,499360.08499999996,502972.345,501387.25
1957.5,499712.96499999997,499771.76,502156.995,501903.475
1965.0,499316.82499999995,499840.125,502358.06999999995,502489.15
1972.5,498905.86,499235.275,502602.6,501005.805
1980.0,499039.72,499754.23,502599.70499999996,501564.87
1987.5,499169.015,499343.69499999995,502228.44499999995,503311.6
1995.0,499289.19,499883.875,502399.48,501349.615
2002.5,499439.96499999997,500574.46499999997,502499.045,501788.68
2010.0,499745.235,499053.895,501909.015,502367.24
2017.5,499860.22,498957.795,501821.185,500559.055
2025.0,498483.105,499395.98,501995.565,501498.69
2032.5,499763.86,499610.71499999997,503111.485,502299.69999999995
2040.0,499716.235,499598.65,502599.32499999995,501835.885
2047.5,499188.96499999997,499467.905,502215.81,501429.425
2055.0,499288.975,499925.44,502177.725,500994.20499999996
2062.5,498804.42,500062.95999999996,501818.495,501049.425
2070.0,499722.895,499771.74,502942.70499999996,501940.52
2077.5,499635.13,499516.225,502111.94999999995,501719.28
2085.0,499362.055,499942.68,502752.67,501445.91000000003
2092.5,499867.255,499507.56,502735.435,502311.105
2100.0,499384.23,499646.85,502038.275,501847.97
2107.5,499492.47,499482.83999999997,502486.19,500974.81999999995
2115.0,500009.515,499122.37,502873.86,501121.45999999996
2122.5,499023.21499999997,499150.68,502352.44,501490.44
2130.0,499009.265,499078.405,502420.61,502079.355
2137.5,499446.37,498822.93,502235.805,501771.005
2145.0,499887.315,499074.145,502219.895,501650.57499999995
2152.5,499364.14,499549.125,502626.725,501392.35
2160.0,499724.475,499589.05,502483.175,500994.19499999995
2167.5,499383.14,500158.295,502183.05,501163.345
2175.0,498609.395,499406.53500000003,502665.52,501000.39
2182.5,499319.305,500105.27,503424.28500000003,501261.65
2190.0,499479.45499999996,500338.495,502654.375,501886.37
2197.5,499198.435,499074.52,502789.3,501308.63
2205.0,499120.96499999997,499310.38,502334.20499999996,501845.845
2212.5,498803.015,498773.405,501487.5,502004.145
2220.0,499465.925,499288.185,502349.19499999995,500757.37
2227.5,499090.05,499899.315,502673.33499999996,501179.495
2235.0,498974.31,499636.165,502107.52,501353.58499999996
2242.5,499325.05,499838.03500000003,501369.19999999995,501140.845
2250.0,498839.025,500343.06999999995,501991.615,501721.98
2257.5,498739.265,499475.175,502673.57999999996,502397.67
2265.0,498827.89,499052.895,501961.975,502280.155
2272.5,499193.19,500206.615,501736.385,501949.475
2280.0,498968.725,498977.69999999995,502263.055,501569.6
2287.5,499007.495,499013.19999999995,502687.155,502285.13
2295.0,498917.89,499198.72,502254.645,502043.81
2302.5,499403.65,499263.45499999996,502024.94499999995,502288.51
2310.0,499447.76,499770.595,502224.44999999995,501960.20499999996
2317.5,498880.815,499819.805,502745.375,501712.69
2325.0,498834.565,499635.895,502272.065,502352.235
2332.5,498833.815,499318.245,502361.69499999995,502124.43
2340.0,498781.935,499397.06999999995,503066.725,501483.11
2347.5,499523.725,499441.98,503044.985,501560.04
2355.0,499449.265,499454.05,502384.895,500879.47
2362.5,499180.005,499793.81999999995,502529.505,501755.865
2370.0,499024.0,499734.17,502340.39,502016.67
2377.5,500100.42,498897.45999999996,502375.045,501438.94499999995
2385.0,499568.03,499758.78500000003,503221.15,501948.265
2392.5,499195.63,499152.31,502754.53500000003,501526.94499999995
2400.0,499595.02,499340.495,502755.915,501763.735
2407.5,499684.69999999995,499546.845,502154.20499999996,501574.485
2415.0,499348.19499999995,499460.02,501720.83499999996,501686.505
2422.5,499589.135,499234.70999999996,503447.895,501965.83999999997
2430.0,499274.805,499426.265,502369.45499999996,501503.19499999995
2437.5,498954.37,500282.57499999995,501287.885,502346.235
2445.0,498910.20999999996,499797.05,501667.11,501719.19999999995
2452.5,499478.72,498575.935,501936.83499999996,501485.78
2460.0,499762.895,499695.505,501979.645,501978.53
2467.5,499323.39,499714.69999999995,502725.81999999995,502036.435
2475.0,499702.025,499619.165,502437.18,501514.78500000003
2482.5,498885.305,500148.6,502260.33499999996,501620.265
2490.0,499168.76,499374.175,502069.525,502216.305
2497.5,499799.58499999996,499775.265,502106.19,501644.78500000003
2505.0,499681.74,499466.6,503301.4,500736.27
2512.5,499756.13,499837.29,502689.35,501331.355
2520.0,499411.94499999995,499749.485,502276.255,501886.71499999997
2527.5,499618.23,499417.38,501887.15,502016.005
2535.0,499150.19,499656.065,503037.425,500895.69
2542.5,499429.3,499565.05,502190.45999999996,501846.745
2550.0,499985.94499999995,500703.025,502406.57999999996,501672.4
2557.5,499528.44999999995,500857.3,502425.62,501040.33499999996
