,00355.p,00355.p,00355.s,00355.s,00387.o,00387.o,00355.p
52,38815.458808,1272903.309742,25568.236288,1232969.088260,694.656563,0.000000,62242.720000
53,34783.002995,1297757.285595,24614.218681,1051542.464613,1076.989472,0.000000,82359.040000
54,34044.267335,1238225.957535,24769.407426,1132845.024979,894.039894,0.000000,58500.000000
55,33676.873683,1379675.270608,22191.468047,1320159.866778,838.784655,0.000000,50828.800000
56,31443.564028,1338468.047460,20514.925560,1182961.386345,1206.760327,0.000000,52175.200000
57,32794.299225,1458944.213156,21691.265376,1276576.186511,1057.431795,0.000000,70087.680000
58,32741.393789,1403055.786844,20509.757138,1151674.958368,863.493603,0.000000,56917.920000
59,37461.457900,1390840.965862,21786.044182,1366860.949209,497.632182,0.000000,62464.000000
60,37338.532917,1309058.805162,20826.153783,1198434.117402,1035.305916,0.000000,71383.680000
61,32522.778666,1234506.244796,24011.498292,1228207.743547,984.140820,0.000000,79612.160000
62,31398.800001,1490656.848460,21410.421074,1238987.510408,504.145309,0.000000,105815.040000
63,34338.376873,1368164.862614,21566.372505,1090566.194838,766.481627,0.000000,91445.760000
64,33838.988343,1482147.689425,26221.911377,1224971.378018,528.734193,0.000000,124848.000000
65,36238.256958,1233179.850125,23611.951791,1337099.500416,498.963165,0.000000,94668.800000
66,38444.713685,1219485.012490,23766.137726,1169854.808493,770.279045,0.000000,54496.800000
67,35251.458745,1276696.086595,22819.143227,1298457.951707,1186.560028,0.000000,94167.040000
68,34345.347383,1350395.295587,24735.533677,1276197.751873,869.502465,0.000000,103923.520000
69,31796.432355,1267100.333056,24405.359527,1107764.363031,1185.535491,0.000000,92016.000000
70,33169.772540,1233358.763530,22772.852686,1272143.630308,587.075620,0.000000,72872.800000
71,37464.366852,1316113.238968,24998.827068,1094118.234804,919.430341,0.000000,111047.680000
72,37600.842936,1231456.286428,21342.088126,1223354.600333,632.944226,0.000000,149454.720000
73,35291.804457,1175313.072440,24248.591668,1133928.809326,1060.875885,0.000000,81998.080000
74,32434.795421,1335715.029142,25056.214853,1200452.747710,1475.716114,0.000000,127072.000000
75,30539.394255,1139530.391341,22382.910075,1286288.093256,1665.018734,0.000000,92897.280000
76,35084.382628,1057631.140716,26143.836181,1233902.997502,1000.566570,0.000000,164092.960000
77,33044.098688,1223490.424646,23632.735253,1205497.918401,1471.555076,0.000000,89125.120000
78,32825.347494,1239406.223980,23232.142491,954801.831807,1591.396157,0.000000,97225.920000
79,33571.876951,1227102.414654,23555.199768,1095961.698585,1383.582122,0.000000,62400.000000
80,33080.231907,1289989.071607,20272.723221,879103.663614,2484.516712,0.000000,106090.400000
81,30490.779067,1198712.323064,22210.801607,877106.577852,892.238950,0.000000,158140.800000
82,31443.365067,1331645.920067,24540.867103,1401209.512906,1079.652581,0.000000,135795.200000
83,34109.905157,1225918.401332,23115.088013,901708.576187,1026.512737,0.000000,141905.920000
84,29310.358256,1166988.447127,24166.863129,1105024.458784,1714.498375,0.000000,202860.000000
85,28547.978207,1020922.980849,23177.566465,1020922.980849,2094.203622,0.000000,181573.760000
86,30463.760338,1201144.046628,20474.998353,1115348.043297,1885.166089,0.000000,219820.800000
87,28555.104226,1322033.305579,19805.852301,1048885.928393,1453.762896,0.000000,123171.840000
88,35417.148993,1146303.809326,20296.594015,1023883.014155,1725.346345,0.000000,182492.160000
89,31628.687316,816069.941715,17170.254138,804735.636969,2393.597072,0.000000,176176.000000
90,29318.220661,1015636.136553,18343.259635,1050260.095754,1859.685309,0.000000,126167.040000
91,33391.704829,1139770.191507,24541.755568,1092769.358868,1735.565414,0.000000,108380.160000
92,28135.729050,1088448.272273,18674.414871,1004721.482098,1795.897599,0.000000,167529.280000
93,28472.446057,1119971.690258,19675.114081,1107798.084929,2125.031204,0.000000,153872.640000
94,27325.832675,1127318.380516,19855.461152,1288363.863447,1965.887243,0.000000,205252.000000
95,32249.785335,1083986.677769,19279.094000,1096591.174022,1507.862101,0.000000,116259.840000
96,32510.810109,1089933.909242,20692.966280,859124.375520,1940.943887,0.000000,131414.400000
97,24089.207582,1108644.879267,18962.489246,1004301.831807,2085.714602,0.000000,249518.080000
98,23560.065175,835687.656120,17908.888030,955071.606994,1360.168711,0.000000,194855.360000
99,27794.220962,1187010.824313,20335.226829,1160033.305579,1630.111300,0.000000,129024.000000
100,26116.496141,1028588.155704,21730.264097,850299.542048,2594.908270,0.000000,248311.360000
101,28064.666672,1171139.050791,19997.564184,1115370.524563,1940.189206,0.000000,195278.080000
102,29893.277412,977842.318901,22990.836621,1105386.969192,1885.629189,0.000000,251746.560000
103,30240.668583,1238657.785179,24421.098060,921791.840133,1705.433054,0.000000,201733.120000
104,28461.341953,995264.363031,17580.640604,1053809.325562,1804.516973,0.000000,327500.000000
105,25596.452216,981509.575354,15612.020500,624597.002498,1742.737172,0.000000,302279.040000
106,27885.523660,1057584.304746,19014.533660,966934.221482,2803.306611,0.000000,144515.840000
107,24542.048293,874791.007494,18340.965862,951527.060783,3016.236470,0.000000,175636.480000
108,25155.354801,732633.534555,21235.534007,1153508.118235,2473.673316,0.000000,226317.600000
109,24174.838737,1060647.377186,17314.672669,1187291.840133,2260.956141,0.000000,194688.000000
110,29179.183236,900202.331391,21506.647496,900202.331391,1314.731188,0.000000,192203.200000
111,25900.657330,1126176.519567,21437.774836,1403640.299750,2769.377976,0.000000,203512.320000
112,27993.612297,961038.509575,17839.859860,1110165.174854,2346.285424,0.000000,220758.720000
113,29463.278384,1160561.615321,22010.198207,1244660.283097,3202.976605,0.000000,178123.520000
114,25007.389269,1041374.375520,14566.804249,887728.975853,3355.158060,0.000000,189540.000000
115,23496.947531,1143487.094088,14994.901710,1004882.597835,1797.696256,0.000000,195317.760000
116,20517.223908,1125202.331391,19186.608968,914226.894255,2618.306817,0.000000,216218.880000
117,22037.293548,1141688.592839,21688.877839,1177366.361366,3070.413429,0.000000,191963.520000
118,27439.157199,1122098.043297,20281.116190,1266884.887594,3822.040415,0.000000,139111.200000
119,24608.094329,1028143.213988,18467.276618,954704.412989,3160.055829,0.000000,178752.000000
120,26756.805369,968391.756869,23415.046330,1340850.124896,2523.369070,0.000000,165409.920000
121,28221.343054,906624.479600,21926.876834,1114392.589509,530.303015,0.000000,145180.800000
122,28830.669190,861973.875937,19617.949271,1072678.601166,2759.139468,0.000000,98155.200000
123,26911.655652,990614.487927,20391.210450,1087733.555371,3129.813697,0.000000,218972.160000
